Group,Participant,LexTALE,CFT,Age,AoA,Years,AJT,AJT 100,Cloze test,Cloze test w PS,ClozePS100,Cloze test 100,PS M,PS MM,PP M,PP MM,LexTALE L1,CFT L1
German,101,68.75,27,26,10,15,9,75,24,14,70,80,2,2,2,3,90,45
German,103,90,29,28,11,8,8,66.66666667,27,17,85,90,3,0,2,3,92.5,36
German,104,86.25,40,22,8,14,8,66.66666667,20,10,50,66.66666667,2,1,3,2,90,54
German,106,95,27,37,5,8,9,75,19,9,45,63.33333333,2,2,3,2,97.5,38
German,107,68.75,30,22,8,14,7,58.33333333,20,10,50,66.66666667,2,0,2,3,97.5,56
German,109,83.75,29,21,6,14,7,58.33333333,20,10,50,66.66666667,3,1,2,1,96.25,51
German,111,75,33,21,9,13,6,50,19,9,45,63.33333333,3,0,2,1,85,29
German,112,77.5,37,23,8,15,11,91.66666667,30,20,100,100,3,3,2,3,88.75,53
German,113,85,29,23,8,15,8,66.66666667,24,14,70,80,3,0,3,2,88.75,35
German,114,88.75,45,30,11,10,8,66.66666667,30,20,100,100,2,2,1,3,92.5,49
German,117,90,35,30,12,7,7,58.33333333,21,11,55,70,2,2,2,1,95,45
German,118,88.75,41,22,9,11,9,75,29,19,95,96.66666667,2,2,3,2,95,56
German,119,91.75,42,32,10,22,8,66.66666667,20,10,50,66.66666667,2,1,3,2,93,43
German,120,97.5,33,23,9,12,6,50,28,18,90,93.33333333,1,2,1,2,96.25,29
German,122,97.5,44,23,9,14,7,58.33333333,23,14,70,76.66666667,3,1,3,0,96.25,50
German,124,87.5,28,28,9,14,11,91.66666667,23,13,65,76.66666667,3,3,2,3,100,40
German,125,70,31,24,8,16,9,75,30,20,100,100,3,1,3,2,95,58
German,126,88.75,41,25,10,15,6,50,20,12,60,66.66666667,1,1,1,3,100,66
German,127,72.5,31,22,6,15,7,58.33333333,21,11,55,70,3,0,3,1,83.25,39
German,128,70,33,28,9,19,7,58.33333333,27,18,90,90,2,0,2,3,87.5,39
German,129,88,32,22,6,15,10,83.33333333,21,11,55,70,3,1,3,3,94.25,45
German,130,76.25,24,20,8,11,7,58.33333333,25,15,75,83.33333333,3,0,3,1,85,36
German,131,81.25,25,23,9,13,6,50,28,19,95,93.33333333,3,0,1,2,97.5,33
German,132,76.25,35,27,8,9,10,83.33333333,28,18,90,93.33333333,3,2,3,2,89,58
Spanish,301,68.75,37,25,8,15,7,58.33333333,24,15,75,80,3,1,3,0,93.1,43
Spanish,302,67.5,25,24,6,17,8,66.66666667,28,18,90,93.33333333,3,1,3,1,98.28,45
Spanish,303,68.75,44,27,6,20,7,58.33333333,29,19,95,96.66666667,2,0,3,2,84.83,60
Spanish,304,68.75,43,22,3,19,6,50,24,15,75,80,2,1,0,3,89.66,54
Spanish,306,78.75,39,28,9,19,7,58.33333333,27,17,85,90,3,1,2,1,100,58
Spanish,307,62.5,42,20,7,11,10,83.33333333,30,20,100,100,3,2,3,2,95.69,70
