Group,Participant,Trial,Condition,Response,CompQuestion.RT,Correct,Item,q1,Question,S1.RT,S2.RT,X5V,X4V,X3V,X2V,X1V,V,V1,V2,V3,V4,V5,S14.RT,S15.RT,S16.RT,S17.RT,S18.RT,S19.RT,S20.RT,S21.RT,S22.RT,S23.RT,S24.RT,S25.RT,S26.RT,S27.RT,S28.RT,S29.RT,S30.RT,S31.RT,S32.RT,S33.RT,S34.RT,S35.RT,Study,Violation,w1,w2,X5V,X4V,X3V,X2V,X1V,V,V1,V2,V3,V4,V5,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35
Croatian,201,54,Past_Mismatch,m,5767,m,2,Did the cat eat only fish?,yes,,,361,352,453,355,354,332,330,381,382,334,364,365,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,205,35,Past_Mismatch,m,15007,m,2,Did the cat eat only fish?,yes,,,575,337,551,421,480,644,531,543,511,543,537,485,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,209,42,Past_Mismatch,m,5029,m,2,Did the cat eat only fish?,yes,,,314,310,219,260,945,433,257,275,293,270,243,211,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,221,24,Past_Mismatch,m,2863,m,2,Did the cat eat only fish?,yes,,,199,315,167,166,674,206,277,339,419,267,301,282,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,225,12,Past_Mismatch,m,3804,m,2,Did the cat eat only fish?,yes,,,350,401,411,483,317,251,336,346,427,303,273,286,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,229,8,Past_Mismatch,m,4518,m,2,Did the cat eat only fish?,yes,,,338,426,362,329,360,347,505,454,328,316,316,317,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,237,75,Past_Mismatch,m,2947,m,2,Did the cat eat only fish?,yes,,,279,201,230,263,223,258,254,224,387,236,248,282,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,202,53,Past_Match,m,1628,m,2,Did the cat eat only fish?,yes,,,,,230,171,167,151,351,164,161,301,153,157,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,206,60,Past_Match,x,11507,m,2,Did the cat eat only fish?,yes,,,,,260,303,292,292,240,295,349,303,300,292,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,210,32,Past_Match,m,2527,m,2,Did the cat eat only fish?,yes,,,,,400,527,435,338,336,326,542,395,484,531,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,214,4,Past_Match,m,10184,m,2,Did the cat eat only fish?,yes,,,,,447,405,361,380,391,403,395,427,386,376,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,222,29,Past_Match,m,1698,m,2,Did the cat eat only fish?,yes,,,,,992,219,220,201,209,216,229,214,205,216,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,226,55,Past_Match,m,1959,m,2,Did the cat eat only fish?,yes,,,,,215,165,133,139,138,151,140,154,162,179,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,230,43,Past_Match,m,4624,m,2,Did the cat eat only fish?,yes,,,,,924,1260,309,420,339,309,1100,297,341,316,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,234,20,Past_Match,m,1453,m,2,Did the cat eat only fish?,yes,,,,,271,160,174,202,200,195,173,220,209,260,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,202,36,Past_Mismatch,m,2695,x,23,Does Ben pay the same amount for his insurance? ,yes,,,,,219,329,139,250,835,250,279,108,378,224,470,196,232,206,310,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,Since,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,203,61,Past_Match,x,3868,x,23,Does Ben pay the same amount for his insurance? ,yes,,,,,427,292,465,284,572,357,311,313,407,460,1001,272,251,252,231,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,,,,,In,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,206,30,Past_Mismatch,x,2414,x,23,Does Ben pay the same amount for his insurance? ,yes,,,,,359,335,290,314,346,346,371,327,423,331,332,348,326,390,353,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,Since,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,207,33,Past_Match,x,4016,x,23,Does Ben pay the same amount for his insurance? ,yes,,,,,315,225,227,260,246,231,218,244,241,198,506,223,272,288,261,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,,,,,In,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Croatian,210,45,Past_Mismatch,x,2724,x,23,Does Ben pay the same amount for his insurance? ,yes,,,,,371,440,541,421,640,458,383,375,342,347,276,290,336,269,560,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,,,,,,Since,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
