Group,Participant,Trial,Response,Condition,Correct,Item,q1,S1.RT,S2.RT,X5V,X4V,X3V,X2V,X1V,V,V1,V2,V3,V4,V5,S14.RT,S15.RT,S16.RT,S17.RT,S18.RT,S19.RT,S20.RT,S21.RT,S22.RT,S23.RT,S24.RT,S25.RT,S26.RT,S27.RT,S28.RT,S29.RT,S30.RT,S31.RT,S32.RT,S33.RT,S34.RT,S35.RT,Study,w1,w2,X5V,X4V,X3V,X2V,X1V,V,V1,V2,V3,V4,V5,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35
Spanish,301,26,m,Past_Mismatch,m,2,Did the cat eat only fish?,0,0,340,304,301,425,275,289,423,281,314,320,308,885,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,302,80,m,Past_Match,m,2,Did the cat eat only fish?,0,0,0,0,823,282,257,431,334,496,391,137,127,511,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,306,83,x,Past_Match,m,2,Did the cat eat only fish?,0,0,0,0,974,403,374,308,371,345,421,344,318,322,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,310,65,m,Past_Match,m,2,Did the cat eat only fish?,0,0,0,0,419,266,290,296,434,385,332,306,305,291,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,321,27,x,Past_Mismatch,m,2,Did the cat eat only fish?,0,0,867,611,543,503,514,510,571,3706,429,412,447,351,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,325,25,m,Past_Mismatch,m,2,Did the cat eat only fish?,0,0,307,499,350,303,203,217,579,311,294,218,136,122,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,Since,last,"week,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,326,77,m,Past_Match,m,2,Did the cat eat only fish?,0,0,0,0,238,249,234,198,217,212,296,201,183,192,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,"Initially,",the,cat,ate,only,fish.,She,now,also,eats,meat.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,302,71,x,Past_Mismatch,x,23,Does Ben pay the same amount for his insurance? ,0,0,0,0,130,178,818,169,283,321,280,256,426,130,148,319,362,306,308,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,Since,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,303,62,x,Past_Match,x,23,Does Ben pay the same amount for his insurance? ,0,0,0,0,305,316,260,289,233,404,283,302,769,293,226,401,287,339,351,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,In,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Spanish,306,43,x,Past_Mismatch,x,23,Does Ben pay the same amount for his insurance? ,0,0,0,0,333,652,399,1203,492,331,813,448,506,1200,545,385,419,300,374,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tense,?,?,?,?,Since,"February,",Ben,crashed,his,car,four,times.,He,now,pays,a,lot,for,his,insurance.,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
